fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
4	0.2	560	0.5284028597077272	0.9	0.898989898989899
4	0.2	448	0.5138966804862761	0.8875	0.8875
4	0.2	358	0.5310044064107186	0.9	0.9
4	0.2	286	0.7173757489584892	0.9375	0.9305555555555556
4	0.2	228	0.6641015990193396	0.9375	0.9371482176360225
4	0.2	182	0.5794818179777959	0.9125	0.909176618478944
4	0.2	145	0.6636140715109399	0.9375	0.9367167919799497
4	0.2	116	0.496797870171519	0.8875	0.8906649616368285
4	0.2	92	0.7215808693088077	0.9375	0.9404761904761905
4	0.2	73	0.7187302635225151	0.95	0.9529335912314636
4	0.2	58	0.4855171858205469	0.8625	0.8746031746031746
4	0.2	46	0.014509459656410179	0.5625	0.5717577353522053
4	0.2	36	0.19901533607948105	0.7375	0.7540296582849774
4	0.2	28	0.02215894315217232	0.5875	0.5850531582238899
4	0.2	22	0.059525479681456675	0.6375	0.6428571428571428
4	0.2	17	0.05497125558304373	0.6375	0.6369606003752344
4	0.2	13	0.03852512416747663	0.6	0.6126984126984127
4	0.2	10	0.02237982580206779	0.5875	0.5879949717159019
4	0.2	8	0.025089346328772695	0.6	0.590909090909091
4	0.2	6	0.05531055113939897	0.6375	0.6375000000000001
4	0.2	4	0.023457896474894564	0.5875	0.5895989974937343
4	0.2	3	0.06698856742315328	0.6375	0.6477272727272727
4	0.2	2	0.047058921811630815	0.625	0.625
4	0.2	1	0.01634810179810303	0.575	0.5750000000000001
